item_category,item_name,item_price,price_per_unit,price_per_unit_type,item_size
Orange Juice,Hill Country Fare Orange Juice - Original,0.07,0.07,oz,1/2 gal
Orange Juice,Florida's Natural No Pulp 100% Premium Florida Orange Juice with Calcium & Vitamin D,0.08,0.08,oz,52 oz
Orange Juice,H-E-B Organics 100% Pasteurized Orange Juice 4 pk Juice Boxes,0.7,0.7,pack,6.75 oz
Orange Juice,Hill Country Fare Orange Juice with Calcium,0.05,0.05,oz,1 gal
Orange Juice,Florida's Natural Some Pulp 100% Premium Florida Orange Juice,0.08,0.08,oz,52 oz
Orange Juice,Tropicana Pure Premium No Pulp Orange Juice Calcium & Vitamin D,0.09,0.09,oz,89 oz
Orange Juice,Tropicana No Pulp Calcium & Vitamin D Light Orange Juice,0.09,0.09,oz,46 oz
Orange Juice,H-E-B Some Pulp Light Orange Juice,0.09,0.09,oz,52 oz
Orange Juice,Tropicana Lots of Pulp Pure Premium 100% Orange Juice,0.09,,,46 oz
Orange Juice,Tropicana Pure Premium No Pulp 100% Orange Juice,0.2,0.2,oz,11 oz
Orange Juice,Tropicana No Pulp Calcium & Vitamin D Pure Premium Orange Juice,0.09,0.09,oz,46 oz
Orange Juice,V8 Energy Sparkling Orange Pineapple Juice Energy Drink 4 pk Cans,0.11,0.11,oz,11.5 oz
Orange Juice,good2grow Bigger Orange Mango Juice,0.43,,,10 oz
Orange Juice,Welch's Orange Pineapple Juice 6 pk Bottles,0.07,0.07,oz,10 oz
Orange Juice,H-E-B Diet Pineapple Orange Guava Juice,0.05,0.05,oz,64 oz
Orange Juice,Hawaiian Punch Orange Ocean Juice Drink,0.03,0.03,oz,32 oz
Orange Juice,Dole 100% Pineapple Orange Banana Juice,0.07,0.07,oz,52 oz
Orange Juice,H-E-B Organics Orange Peach Mango Juice,0.09,0.09,oz,59 oz
Orange Juice,V8 Energy Orange Pineapple Juice Energy Drink 6 pk Cans,0.85,0.85,pack,8 oz
Orange Juice,Dole 100% Orange Strawberry Banana Juice,0.07,0.07,oz,52 oz
Orange Juice,Tropicana Pure Premium 100% Orange Juice,0.09,0.09,oz,89 oz
Orange Juice,H-E-B Organics 100% Orange Strawberry Banana Juice,0.09,0.09,oz,59 oz
Orange Juice,Hi-C Orange Lavaburst 8 pk Juice Boxes,0.05,0.05,oz,6 oz
Orange Juice,Dole 100% Orange Peach Mango Juice,0.07,0.07,oz,52 oz
Orange Juice,So Good So You Happy Blood Orange Guava Probiotic Juice Shot,1.93,1.93,oz,1.7 fl oz
Orange Juice,Simply Orange Pulp Free Orange with Mango 100% Juice Blend,0.18,0.18,oz,11.5 oz
Orange Juice,Just Made Passion Orange Guava Cold-Pressed Juice,0.28,0.28,oz,11.8 fl oz
Orange Juice,So Good So You Detox Pineapple Orange Cold-Pressed Probiotic Juice Shot,1.93,1.93,oz,1.7 fl oz
Orange Juice,Welch's 100% Orange Pineapple Apple Juice 6 pk Bottles,0.88,0.88,ct,10 oz
Orange Juice,Suja Detox Blood Orange Organic Cold-Pressed Shot,1.24,1.24,oz,2 fl oz
Orange Juice,Sunny D Smooth Orange Flavored Citrus Punch,0.03,0.03,oz,1 gal
Orange Juice,Sunny D Tangy Original Orange Flavored Citrus Punch,0.5,,,6.75 oz
Orange Juice,Kool-Aid Jammers Sharkleberry Fin Strawberry Orange Punch 10 pk Pouches,0.05,0.05,oz,6 oz
Orange Juice,Sunny D Tangy Original Orange Flavored Citrus Punch,0.03,0.03,oz,64 oz
Orange Juice,Plezi Juice Drink 8 pk Boxes - Orange Smash,0.07,0.07,oz,6.75 oz
Orange Juice,Tropicana Essentials No Pulp Orange Mango Blend,0.08,0.08,oz,46 oz
Orange Juice,Tropicana Essentials Orange Blend Some Pulp,0.08,0.08,oz,46 oz
Orange Juice,Tropicana Essentials No Pulp Orange Blend,0.08,0.08,oz,46 oz
Orange Juice,Just Made Lime Orange Agave Margarita Mix,0.21,0.21,oz,33.8 fl oz
Orange Juice,Tum-E Yummies Edgy Orange Burst,0.1,0.1,oz,10.1 oz
Orange Juice,Sunny D Orange Strawberry Flavored Citrus Punch,0.03,0.03,oz,1 gal
Orange Juice,Bright & Early by Hi-C Orange Drink,0.03,0.03,oz,59 oz
Orange Juice,Hawaiian Punch Orange Ocean Drink,0.02,0.02,oz,1 gal
Orange Juice,H-E-B Fresh Tangerine Juice,0.19,0.19,oz,52 fl oz
Orange Juice,Ruby Kist 100% Orange Juice,0.07,0.07,oz,64 oz
Twix Candy Bar,Twix Snickerdoodle Chocolate Candy Bar,1.11,1.11,oz,1.41 oz
Twix Candy Bar,Twix Caramel Cookie Snowmen Christmas Candy Bars - Share Size,1.2,1.2,oz,2.12 oz
Twix Candy Bar,"Twix Caramel Cookie Snowmen Christmas Candy Bars, 6 pk",0.99,0.99,oz,6.36 oz
Twix Candy Bar,Twix Caramel Milk Chocolate Minis Candy Bars - Treating Size,0.6,0.6,oz,5 oz
Twix Candy Bar,Twix Minis Cookie Chocolate Caramel Candy Bars - Party Size,0.42,0.42,oz,35.6 oz
Twix Candy Bar,"Twix Caramel Milk Chocolate Cookie Candy Bars, 6 pk",7.88,,,10.74 oz
Twix Candy Bar,Twix Caramel Chocolate Cookie Candy Bar - Share Size,0.84,0.84,oz,3.02 oz
Twix Candy Bar,Twix Caramel Cookie Snowmen Christmas Candy Bar,1.18,1.18,oz,1.06 oz
Twix Candy Bar,Twix Caramel Chocolate Cookie Candy Bar,1.57,,,1.79 oz
Twix Candy Bar,Twix Chocolate Caramel Fun Size Candy Bars,0.45,0.45,oz,5 pk
Twix Candy Bar,"Snickers, Twix, Milky Way, & 3 Musketeers  Assorted Full Size Chocolate Candy Bars - Variety Pack",21.78,,,18 pk
Twix Candy Bar,"Snickers, Twix, Milky Way, & 3 Musketeers Minis Milk Chocolate Candy Bars - Party Size",0.51,0.51,oz,19.49
Twix Candy Bar,"Snickers, Twix, Milky Way & 3 Musketeers Assorted Minis Chocolate Bars - Family Size",0.58,0.58,oz,13.72 oz
Twix Candy Bar,Twix Milk Chocolate Caramel Cookie Fun Size Candy Bars,0.45,0.45,oz,10.83 oz
Twix Candy Bar,Twix Minis Chocolate Bars - Sharing Size,0.51,0.51,oz,9.7 oz
Creamy Peanut Butter,H-E-B Made in Texas Creamy Peanut Butter,0.14,0.14,oz,28 oz
Creamy Peanut Butter,H-E-B Made in Texas Creamy Peanut Butter,0.15,0.15,oz,18 oz
Creamy Peanut Butter,Jif Creamy Peanut Butter,0.17,0.17,oz,40 oz
Creamy Peanut Butter,Jif Creamy Peanut Butter,0.17,0.17,oz,16 oz
Creamy Peanut Butter,Hill Country Fare Creamy Peanut Butter,0.11,0.11,oz,18 oz
Creamy Peanut Butter,Peter Pan Creamy Peanut Butter,0.15,0.15,oz,16.3 oz
Creamy Peanut Butter,Peter Pan Creamy Peanut Butter,0.14,0.14,oz,40 oz
Creamy Peanut Butter,H-E-B Organics 7g Protein Creamy Peanut Butter Spread,0.25,0.25,oz,18 oz
Creamy Peanut Butter,Hill Country Fare Creamy Peanut Butter,0.1,0.1,oz,40 oz
Creamy Peanut Butter,Central Market All-Natural Smooth Peanut Butter - Unsalted,0.2,0.2,oz,18 oz
Creamy Peanut Butter,H-E-B Made in Texas Creamy Peanut Butter – Texas-Size Pack Twin Pack,0.12,0.12,oz,40 oz each
Creamy Peanut Butter,Hill Country Fare Creamy Peanut Butter - Texas-Size Pack,0.1,0.1,oz,4 lbs
Creamy Peanut Butter,Laura Scudder's Old Fashioned All Natural Smooth Peanut Butter,0.3,0.3,oz,16 oz
Creamy Peanut Butter,H-E-B Natural 7g Protein Creamy Peanut Butter,0.12,0.12,oz,16 oz
Creamy Peanut Butter,Reese's Creamy Peanut Butter,0.2,0.2,oz,18 oz
Creamy Peanut Butter,H-E-B Made in Texas Creamy Peanut Butter - Texas Wildflower Honey,0.15,0.15,oz,18 oz
Creamy Peanut Butter,Skippy No Sugar Added Creamy Peanut Butter,0.19,0.19,oz,16 oz
Creamy Peanut Butter,Jif To Go Creamy Peanut Butter Cups,0.36,0.36,oz,8 ct
Creamy Peanut Butter,Skippy Natural Creamy Peanut Butter,0.18,0.18,oz,26.5 oz
Creamy Peanut Butter,Jif Creamy Peanut Butter,0.16,0.16,oz,4 lbs
Creamy Peanut Butter,think! 20g Protein Bars - Creamy Peanut Butter,1.71,1.71,ct,5 ct
Creamy Peanut Butter,Skippy Creamy Peanut Butter,0.16,0.16,oz,40 oz
Creamy Peanut Butter,Jif Natural Creamy Peanut Butter Spread,0.2,0.2,oz,28 oz
Creamy Peanut Butter,Homeplate Creamy Peanut Butter Spread,0.39,0.39,oz,16 oz
Creamy Peanut Butter,Skippy Squeeze Creamy Peanut Butter,0.41,0.41,oz,6 oz
Creamy Peanut Butter,Skippy Squeeze Natural Creamy Peanut Butter,0.41,0.41,oz,6 oz
Creamy Peanut Butter,Peter Pan Natural Creamy Peanut Butter Spread,0.15,0.15,oz,16.3 oz
Creamy Peanut Butter,Nut' N Better Organic Creamy Peanut Butter,0.29,0.29,oz,18 oz
Creamy Peanut Butter,Quinn Creamy Peanut Butter Filled Pretzel Nuggets,0.64,0.64,oz,7 oz
Creamy Peanut Butter,Genius Gourmet 10g Protein Bars - Creamy Peanut Butter Chocolate,1.74,1.74,pack,4 ct
Creamy Peanut Butter,Peter Pan Creamy Peanut Butter,0.14,0.14,oz,28 oz
Creamy Peanut Butter,Raw Rev Plant-Based 12g Protein Bar - Creamy Peanut Butter & Sea Salt,2.5,,,1.6 oz
Creamy Peanut Butter,Jif To Go Natural Creamy Peanut Butter Cups,0.36,0.36,oz,8 ct
Creamy Peanut Butter,Skippy Natural Creamy Peanut Butter Spread,0.2,0.2,oz,15 oz
Creamy Peanut Butter,Skippy Creamy Peanut Butter Individual Squeeze Pouches,0.32,0.32,oz,8 ct
Creamy Peanut Butter,Peter Pan Honey Roast Creamy Peanut Butter Spread,0.14,0.14,oz,28 oz
Creamy Peanut Butter,H-E-B Creamy Creations Peanut Butter Cup Ice Cream,0.11,,,1/2 gal
Creamy Peanut Butter,Skippy Creamy Peanut Butter,0.18,0.18,oz,16.3 oz
Creamy Peanut Butter,H-E-B Creamy Creations Peanut Butter Cup Ice Cream,0.16,,,1 pt
Creamy Peanut Butter,Jif Squeezable Creamy Peanut Butter Pouch,0.27,0.27,oz,13 oz
Creamy Peanut Butter,Skippy Natural Creamy Peanut Butter Individual Pouches,0.32,0.32,oz,8 ct
