year,category,item_name,size,price_min,price_max
2019,"OTC MEDICATIONS, VITAMINS, ETC",Acne Benzoyl 10%,1.5 oz,2.65,2.65
2019,"OTC MEDICATIONS, VITAMINS, ETC",Alcalak Antacid,24 tabs,1.1,1.1
2019,"OTC MEDICATIONS, VITAMINS, ETC",Artificial Tears Eye Drops-.5 oz,,1.75,1.75
2019,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin,24 tabs,1.0,1.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin Free-APAP,24 tabs,1.2,1.2
2019,"OTC MEDICATIONS, VITAMINS, ETC",Calamine Lotion,6 oz,1.55,1.55
2019,"OTC MEDICATIONS, VITAMINS, ETC",Cetrizine Allergy,14 tabs,2.25,2.25
2019,"OTC MEDICATIONS, VITAMINS, ETC",Chlorphen Tabs,24 tabs,0.85,0.85
2019,"OTC MEDICATIONS, VITAMINS, ETC",Clotrimazole Antifungal Cream,,1.1,1.1
2019,"OTC MEDICATIONS, VITAMINS, ETC",Colace Stool Softener,25 tabs,1.4,1.4
2019,"OTC MEDICATIONS, VITAMINS, ETC",Diamode-Anti Diarrheal,6 pks,0.95,0.95
2019,"OTC MEDICATIONS, VITAMINS, ETC",Earwax Drops,15 ml,1.9,1.9
2019,"OTC MEDICATIONS, VITAMINS, ETC",Fiber Lax,90 tabs,5.25,5.25
2019,"OTC MEDICATIONS, VITAMINS, ETC",Fixodent Denture,,4.25,4.25
2019,"OTC MEDICATIONS, VITAMINS, ETC",GK Cough Drops Box,30 ct,0.8,0.8
2019,"OTC MEDICATIONS, VITAMINS, ETC",Guaicon-DMS Cough-Single Dose,,0.5,0.5
2019,"OTC MEDICATIONS, VITAMINS, ETC",Hemorrhoid Ointment,1 oz,1.75,1.75
2019,"OTC MEDICATIONS, VITAMINS, ETC",Hydrocortisone Cream,1 oz,1.5,1.5
2019,"OTC MEDICATIONS, VITAMINS, ETC",Ibutab-Ibuprofen,24 tabs,1.25,1.25
2019,"OTC MEDICATIONS, VITAMINS, ETC",Insect Repellant Wipes,15 pk,4.0,4.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Laxative-Bisacodyl,25 tabs,1.15,1.15
2019,"OTC MEDICATIONS, VITAMINS, ETC",Loratadine Allergy,30 tabs,2.0,2.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Milk Thistle,60 tabs,3.4,3.4
2019,"OTC MEDICATIONS, VITAMINS, ETC",Milk of Magnesia,4 oz,2.45,2.45
2019,"OTC MEDICATIONS, VITAMINS, ETC",Monistat 1200 mg-.32 oz,,21.0,21.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Nasacort Nasal Spray,,15.0,15.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Nasal Mosturizing Spray,1.5 oz,1.85,1.85
2019,"OTC MEDICATIONS, VITAMINS, ETC",Omeprazole AcidReduce,14 tabs,10.0,10.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Pepto Bismuth,30 tabs,2.0,2.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Simethicone Anti/Gas,36 tabs,1.3,1.3
2019,"OTC MEDICATIONS, VITAMINS, ETC",Terbinafine Antifungal Crm-.5 oz,,7.0,7.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Tolnaftate Antifungal Cream-.5 oz,,0.85,0.85
2019,"OTC MEDICATIONS, VITAMINS, ETC",Triple Antibiotic Ointment,1 oz,2.0,2.0
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Amino Acid,100 tabs,4.75,4.75
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-C500 Complex,100 tabs,2.65,2.65
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Calcium,100 tabs,2.35,2.35
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-E 200 IU,100 tabs,3.35,3.35
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Garlic/Oil,100 tabs,2.85,2.85
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Multi No Iron,100 tabs,2.3,2.3
2019,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Omega,120 tabs,3.85,3.85
2019,OTHER FOOD ITEMS,EK Dill Pickle,15 oz,0.7,0.7
2019,OTHER FOOD ITEMS,EK Jalapeno Peppers-Whole,2 oz,0.3,0.3
2019,OTHER FOOD ITEMS,Flour Tortilla (12 pk),10 oz,0.75,0.75
2019,OTHER FOOD ITEMS,Jalp. Cheese Squeeze,16 oz,1.55,1.55
2019,PACKAGED MEAT,Beef w/BBQ Sauce,11.25 oz,3.35,3.35
2019,PACKAGED MEAT,Chicken Vienna Sausage,5 oz,1.35,1.35
2019,PACKAGED MEAT,EG Pork Spam,2.5 oz,1.15,1.15
2019,PACKAGED MEAT,EGH Turkey Deli Bite Snackers,4 oz,2.1,2.1
