year,category,item_name,size,price_min,price_max
2021,HYGIENE,Hair Gel,20 oz,1.1,1.1
2021,HYGIENE,Lubriderm Lotion,,3.5,3.5
2021,HYGIENE,Magic Shave Cream,6 oz,4.45,4.45
2021,HYGIENE,Medi/Cleanse Cream,8 oz,1.2,1.2
2021,HYGIENE,Medicated Powder,10 oz,1.2,1.2
2021,HYGIENE,Nail Clippers,,0.4,0.4
2021,HYGIENE,Petroleum Jelly,4 oz,0.75,0.75
2021,HYGIENE,Pocket Comb,,0.3,0.3
2021,HYGIENE,Razor Disposable,10 pk,1.75,1.75
2021,HYGIENE,Sensodyne Toothpaste,4 oz,7.0,7.0
2021,HYGIENE,Shampoo,15 oz,1.25,1.25
2021,HYGIENE,Toilet Tissue (roll),,0.6,0.6
2021,ICE CREAM,Blue Bell Pints- Asst Flavors,,2.35,2.35
2021,ICE CREAM,Chocolate Fudge Bar,,0.65,0.65
2021,ICE CREAM,Cookies & Cream I/C/S,,0.65,0.65
2021,ICE CREAM,Krunch Bar,,0.65,0.65
2021,ICE CREAM,Moo Bar,,0.65,0.65
2021,ICE CREAM,Vanilla Ice Cream Sandwich,,0.65,0.65
2021,INSTANT DRINK MIX,EH Sugar Free Drink Mix,8 pk,0.8,0.8
2021,INSTANT DRINK MIX,EK Cappuccino-Asst Flavors,,1.45,1.45
2021,INSTANT DRINK MIX,EK Columbian Coffee,4.5 oz,2.0,2.0
2021,INSTANT DRINK MIX,EK Plantation Coffee,4.5 oz,0.9,0.9
2021,INSTANT DRINK MIX,EKH Electrolyte Mix-Asst Flavors,,0.15,0.15
2021,INSTANT DRINK MIX,GH Nutrition Shake,11 oz,1.95,1.95
2021,INSTANT DRINK MIX,Hot Chocolate,10 oz,1.0,1.0
2021,INSTANT DRINK MIX,Sugar Free Hot Chocolate,,2.1,2.1
2021,INSTANT DRINK MIX,Tea Bags,100 bags,1.65,1.65
2021,INSTANT FOODS,Cereal-Assorted Flavors,20 oz,3.3,3.3
2021,INSTANT FOODS,EH Low Sodium Ramen Noodles,,0.3,0.3
2021,INSTANT FOODS,EH Oatmeal Variety (10 Pk),12.4 oz,1.5,1.5
2021,INSTANT FOODS,EK Potatoes-4 Cheese,4 oz,2.05,2.05
2021,INSTANT FOODS,EK White Rice-Instant,8 oz,1.05,1.05
2021,INSTANT FOODS,Pasta - Instant,9 oz,1.8,1.8
2021,INSTANT FOODS,Refried Beans-Instant,15 oz,1.7,1.7
2021,JEWELRY / RELIGIOUS,Chain/Lanyard,,0.55,0.55
2021,JEWELRY / RELIGIOUS,Hat-White Knitted,,8.0,8.0
2021,JEWELRY / RELIGIOUS,Hat-White Solid,,1.25,1.25
2021,JEWELRY / RELIGIOUS,Medallions,,4.0,19.25
2021,JEWELRY / RELIGIOUS,Medicine Bag,,3.25,3.25
2021,JEWELRY / RELIGIOUS,Prayer Oil,4 oz,20.0,20.0
2021,JEWELRY / RELIGIOUS,Wood Rune Set,,12.5,12.5
2021,KOSHER ITEMS,Cheese Ravioli,12 oz,5.0,5.0
